"","modelIdx","stdMake","stdModel","cp","amo","Segment","Subsegment","var","highprice","meanprice","lowprice"
"156",448,"GAC Fiat","Fiat Viaggio","GAC FiatFiat Viaggio",1714,"Passenger Car","Midsize",61,1.658,1.3324262295082,1.008
"157",455,"GAC Toyota","Toyota E'Z","GAC ToyotaToyota E'Z",2027,"MPV","Midsize MPV",76,2.398,1.72905263157895,1.498
"158",477,"Geely","Englon SX7","GeelyEnglon SX7",12,"SUV","Compact SUV",48,1.299,1.08725,0.928
"159",479,"Geely","Geely Vision","GeelyGeely Vision",75328,"Passenger Car","Midsize Basic",169,1.038,0.696591715976331,0.489
"160",500,"GQ Honda","Honda Fit","GQ HondaHonda Fit",61485,"Passenger Car","Compact Upper",168,1.298,1.02132934131737,0.738
"161",502,"Hafei","Hafei Junyi","HafeiHafei Junyi",1,"Van","Mini Van",18,0.444,0.415333333333333,0.393
"162",511,"Haima","Haima Family","HaimaHaima Family",14543,"Passenger Car","Midsize Basic",255,1.836,0.979545098039216,0.618
"163",526,"Huatai","Huatai B11","HuataiHuatai B11",10,"Passenger Car","Midsize",73,1.767,1.47330136986301,1.197
"164",573,"Chrysler","Jeep Patriot","ChryslerJeep Patriot",6,"SUV","Compact SUV",38,3.422,2.53302631578947,2.219
"165",581,"Jinbei","Jinbei Haixing","JinbeiJinbei Haixing",160,"Van","Mini Van",101,0.408,0.359701030927835,0.298
"166",596,"Kia","Kia Borrego","KiaKia Borrego",42,"SUV","Midsize SUV",23,4.38,4.1415652173913,3.98
"167",601,"Kia","Kia Shuma","KiaKia Shuma",6,"Passenger Car","Compact",76,2.288,1.93484210526316,1.698
"168",613,"Land Rover","Land Rover Range Rover Evoque","Land RoverLand Rover Range Rover Evoque",440,"Luxury SUV","Compact Luxury SUV",56,9.88888,5.53051571428571,2.882
"169",619,"Landwind","Landwind X8","LandwindLandwind X8",1570,"SUV","Compact SUV",167,1.698,1.37767664670659,0.938
"170",627,"Toyota","Lexus LS","ToyotaLexus LS",16,"Luxury Car","Large Luxury",74,23.88,16.4805714285714,8.8
"171",628,"Toyota","Lexus LX","ToyotaLexus LX",2481,"Luxury SUV","Large Luxury SUV",22,17.4,14.7802272727273,9.685
"172",638,"Lifan","Lifan Fengshun","LifanLifan Fengshun",6,"Van","Mini Van",79,0.494,0.391620253164557,0.328
"173",650,"Lotus","Lotus Evora","LotusLotus Evora",3,"Sports Car","Compact Sports",28,36.8,17.3785714285714,12
"174",657,"Ferrari Maserati","Maserati Quattroporte","Ferrari MaseratiMaserati Quattroporte",1368,"Luxury Car","Large Luxury",61,27.98,22.6495081967213,14.215
"175",689,"Mercedes-Benz","Mercedes-Benz M-Class","Mercedes-BenzMercedes-Benz M-Class",10,"Luxury SUV","Large Luxury SUV",83,14.18,9.62411764705882,7.78
"176",692,"Mercedes-Benz","Mercedes-Benz S AMG","Mercedes-BenzMercedes-Benz S AMG",99,"Luxury Car","Large Luxury",29,36.18,28.748275862069,24
"177",746,"Porsche","Porsche 911","PorschePorsche 911",1018,"Sports Car","Midsize Sports",113,35,14.7034867256637,12.326
