"","modelIdx","stdMake","stdModel","cp","numb","Segment","Subsegment","highprice","meanprice","lowprice","type","typedif","typeper","oil","level"
"88",1793,"Jiulong","Jiulong Aifei","JiulongJiulong Aifei",300,"MPV","Large MPV",NA,NA,NA,NA,NA,NA,NA,NA
"89",1803,"Dongfeng Honda","Honda XR-V","Dongfeng HondaHonda XR-V",95403,"SUV","Compact SUV",1.628,1.44653658536585,1.278,"SUV",1,1,6.4609756097561,"小型车"
"90",1868,"Changan Ford","Ford Edge","Changan FordFord Edge",60433,"SUV","Midsize SUV",4.498,3.308,2.498,"SUV",1,1,9.55588235294118,"中型车"
"91",1888,"Honda","Honda Odyssey","HondaHonda Odyssey",2,"MPV","Large MPV",2.828,2.56466666666667,2.298,"MPV",1,1,NA,"中大型车"
"92",1889,"Nissan","Nissan Pathfinder","NissanNissan Pathfinder",64,"SUV","Large SUV",6.78,5.71411764705882,5,"SUV",1,1,16.1588235294118,"中大型车"
"93",1911,"Nissan","Infiniti QX60","NissanInfiniti QX60",1639,"Luxury SUV","Midsize Luxury SUV",7.38,6.49818181818182,5.18,"SUV",1,1,9.68181818181818,"中大型车"
"94",1912,"Nissan","Infiniti QX70","NissanInfiniti QX70",194,"Luxury SUV","Large Luxury SUV",11.68,8.79818181818182,7.78,"SUV",1,1,12.1333333333333,"中大型车"
"95",1938,"SAIC","MG GS","SAICMG GS",14268,"SUV","Compact SUV",1.797,1.37915,0.988,"SUV",1,1,7.005,"紧凑型车"
"96",1978,"McLaren","McLaren 675LT","McLarenMcLaren 675LT",11,"Sports Car","Large Sports",NA,NA,NA,NA,NA,NA,NA,NA
"97",1989,"Ferrari Maserati","Maserati Levante","Ferrari MaseratiMaserati Levante",5317,"Luxury SUV","Midsize Luxury SUV",14.78,12.389,9.998,"SUV",1,1,10.8,"中大型车"
"98",1990,"BMW","BMW 2 Series Active Tourer","BMWBMW 2 Series Active Tourer",24,"MPV","Compact MPV",3.499,3.13536363636364,2.799,"旅行车",1,1,6.06363636363636,"紧凑型车"
"99",1996,"Beijing Mercedes-Benz","Mercedes-Benz GLA-Class","Beijing Mercedes-BenzMercedes-Benz GLA-Class",37404,"Luxury SUV","Compact Luxury SUV",3.99,3.24723076923077,2.698,"SUV",1,1,6.88076923076923,"紧凑型车"
"100",2019,"Changan Car","Changan Oushang","Changan CarChangan Oushang",45225,"MPV","Midsize MPV",0.709,0.589545454545455,0.519,"MPV",1,1,6.8,"紧凑型车"
"101",2024,"Dongfeng","Fengshen AX3","DongfengFengshen AX3",10208,"SUV","Compact SUV",0.877,0.78251724137931,0.697,"SUV",1,1,6.49615384615385,"小型车"
"102",2043,"SGM-Buick","Buick Verano","SGM-BuickBuick Verano",77652,"Passenger Car","Midsize",1.999,1.615,1.359,"轿车",1,1,6.05333333333333,"紧凑型车"
"103",2062,"Isuzu","Isuzu MU-X","IsuzuIsuzu MU-X",1778,"SUV","Midsize SUV",2.688,2.21061538461538,1.788,"SUV",1,1,7.99076923076923,"中型车"
